gene_name,sample_name,season,gene_family,aro_accession,drug_class,high_level_drug_class,resistance_mechanism,model_type,num_contigs,cutoff,contig_coverage_breadth,contig_percent_id,contig_species,num_reads,read_gene_id,read_coverage_breadth,read_coverage_depth,read_species,total_reads,rpm,dpm
ArnT,Influent_WWTP_2_1_24_MH2_S339,wet,pmr phosphoethanolamine transferase,ARO:3005053,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,1,ARO:3005053|ID:3795|Name:ArnT|NCBI:FO834906.1,9.12,0.09,,4954328,0.43,0.04
AxyY,Influent_WWTP_2_1_24_MH2_S339,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3004144,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin,beta-lactam antibiotic; aminoglycoside antibiotic; macrolide antibiotic; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,24,ARO:3004144|ID:2799|Name:AxyY|NCBI:AFRQ01000061.1,36.23,0.15,Aeromonas caviae (chromosome): 1; ,4954328,10.32,0.06
BcIII,Influent_WWTP_2_1_24_MH2_S339,wet,class A Bacillus cereus Bc beta-lactamase,ARO:3007101,cephalosporin; penem,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,2.8391,100,,,,,,,4954328,0,0
Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin,Influent_WWTP_2_1_24_MH2_S339,wet,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),ARO:3004480,rifamycin antibiotic,rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,80,ARO:3004480|ID:2914|Name:Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin|NCBI:NC_008618.1,45.63,0.39,Enterobacter hormaechei (chromosome): 1; ,4954328,34.39,0.17
CARB-5,Influent_WWTP_2_1_24_MH2_S339,wet,CARB beta-lactamase,ARO:3002244,penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,14,ARO:3002244|ID:10|Name:CARB-5|NCBI:AF135373.1,80.16,1.53,,4954328,6.02,0.66
CARB-8,Influent_WWTP_2_1_24_MH2_S339,wet,CARB beta-lactamase,ARO:3002247,penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,41.4716,99.19,Unknown taxonomy (chromosome or plasmid),,,,,,4954328,0,0
CMY-49,Influent_WWTP_2_1_24_MH2_S339,wet,CMY beta-lactamase,ARO:3002060,cephamycin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,2.0942,100,,,,,,,4954328,0,0
CRP,Influent_WWTP_2_1_24_MH2_S339,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000518,macrolide antibiotic; fluoroquinolone antibiotic; penam,beta-lactam antibiotic; macrolide antibiotic; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,16,ARO:3000518|ID:869|Name:CRP|NCBI:AP009048.1,78.36,0.53,,4954328,6.88,0.23
CRP-1,Influent_WWTP_2_1_24_MH2_S339,wet,CRP beta-lactamase,ARO:3006868,carbapenem,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,2.381,100,,,,,,,4954328,0,0
CTX-M-6,Influent_WWTP_2_1_24_MH2_S339,wet,CTX-M beta-lactamase,ARO:3001869,cephalosporin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,2.7397,100,,,,,,,4954328,0,0
CblA-1,Influent_WWTP_2_1_24_MH2_S339,wet,CblA beta-lactamase,ARO:3002999,cephalosporin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,25.5892,97.37,Phocaeicola dorei (no genomic info),3,ARO:3002999|ID:2|Name:CblA-1|NCBI:GQ343019.1,29.63,0.51,,4954328,1.29,0.22
CepS,Influent_WWTP_2_1_24_MH2_S339,wet,CepS beta-lactamase,ARO:3003553,cephalosporin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,3,ARO:3003553|ID:299|Name:CepS|NCBI:X80277.1,25.67,0.13,Aeromonas hydrophila (chromosome): 1; ,4954328,1.29,0.06
CfxA3,Influent_WWTP_2_1_24_MH2_S339,wet,CfxA beta-lactamase,ARO:3003003,cephamycin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,18,ARO:3003003|ID:1895|Name:CfxA3|NCBI:AF472622.2,78.67,2.2,,4954328,7.74,0.95
CfxA6,Influent_WWTP_2_1_24_MH2_S339,wet,CfxA beta-lactamase,ARO:3003097,cephamycin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,2,Nudged,59.0361,98.98,Bacteroides ovatus (no genomic info),35,ARO:3003097|ID:268|Name:CfxA6|NCBI:GQ342996.1,88.55,2.84,,4954328,15.05,1.22
EBR-3,Influent_WWTP_2_1_24_MH2_S339,wet,EBR beta-lactamase,ARO:3005461,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,3,ARO:3005461|ID:4586|Name:EBR-3|NCBI:NG_066507.1,22.18,0.36,,4954328,1.29,0.15
ECM-1,Influent_WWTP_2_1_24_MH2_S339,wet,ECM beta-lactamase,ARO:3006882,carbapenem,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,2.3026,100,,,,,,,4954328,0,0
EreA,Influent_WWTP_2_1_24_MH2_S339,wet,macrolide esterase,ARO:3000361,macrolide antibiotic,macrolide antibiotic,antibiotic inactivation,protein homolog,1,Nudged,22.113,100,Unknown taxonomy (chromosome or plasmid),8,ARO:3000361|ID:991|Name:EreA|NCBI:AY183453.1,51.92,0.99,,4954328,3.44,0.43
EreA2,Influent_WWTP_2_1_24_MH2_S339,wet,macrolide esterase,ARO:3002826,macrolide antibiotic,macrolide antibiotic,antibiotic inactivation,protein homolog,1,Nudged,24.6944,97.03,Unknown taxonomy (chromosome or plasmid),4,ARO:3002826|ID:1518|Name:EreA2|NCBI:AF099140.1,24.78,0.44,,4954328,1.72,0.19
EreD,Influent_WWTP_2_1_24_MH2_S339,wet,macrolide esterase,ARO:3004608,macrolide antibiotic,macrolide antibiotic,antibiotic inactivation,protein homolog,0,,,,,8,ARO:3004608|ID:3305|Name:EreD|NCBI:KP265721.1,52,0.89,Riemerella anatipestifer (chromosome or plasmid): 2; ,4954328,3.44,0.38
ErmB,Influent_WWTP_2_1_24_MH2_S339,wet,Erm 23S ribosomal RNA methyltransferase,ARO:3000375,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,macrolide antibiotic; streptogramin antibiotic; lincosamide antibiotic,antibiotic target alteration,protein homolog,1,Nudged,71.0843,97.74,Streptococcus suis (chromosome or plasmid),17,ARO:3000375|ID:1549|Name:ErmB|NCBI:AF242872.1,92.64,3.14,Streptococcus suis (chromosome or plasmid): 4; ,4954328,7.31,1.35
ErmF,Influent_WWTP_2_1_24_MH2_S339,wet,Erm 23S ribosomal RNA methyltransferase,ARO:3000498,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,macrolide antibiotic; streptogramin antibiotic; lincosamide antibiotic,antibiotic target alteration,protein homolog,1,Nudged,62.1723,98.8,Unknown taxonomy (chromosome or plasmid),19,ARO:3000498|ID:621|Name:ErmF|NCBI:M17124.1,85.89,2.7,,4954328,8.17,1.16
ErmG,Influent_WWTP_2_1_24_MH2_S339,wet,Erm 23S ribosomal RNA methyltransferase,ARO:3000522,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,macrolide antibiotic; streptogramin antibiotic; lincosamide antibiotic,antibiotic target alteration,protein homolog,1,Nudged,37.9592,100,Unknown taxonomy (chromosome),2,ARO:3000522|ID:989|Name:ErmG|NCBI:L42817.1,38.23,0.41,,4954328,0.86,0.18
Escherichia coli acrA,Influent_WWTP_2_1_24_MH2_S339,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3004043,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,beta-lactam antibiotic; rifamycin antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics; phenicol antibiotic; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,1,Nudged,16.8342,100,Unknown taxonomy (chromosome or plasmid),2,ARO:3004043|ID:2661|Name:Escherichia_coli_acrA|NCBI:U00096.3,17.09,0.22,Escherichia coli (chromosome or plasmid): 1; ,4954328,0.86,0.09
Escherichia coli mdfA,Influent_WWTP_2_1_24_MH2_S339,wet,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3001328,tetracycline antibiotic; disinfecting agents and antiseptics,disinfecting agents and antiseptics; tetracycline antibiotic,antibiotic efflux,protein homolog,1,Nudged,12.8954,98.11,Unknown taxonomy (chromosome or plasmid),2,ARO:3001328|ID:37|Name:Escherichia_coli_mdfA|NCBI:JQ394987.1,16.95,0.24,,4954328,0.86,0.1
FOX-12,Influent_WWTP_2_1_24_MH2_S339,wet,FOX beta-lactamase,ARO:3002165,cephalosporin; cephamycin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,8,ARO:3002165|ID:4602|Name:FOX-12|NCBI:NG_049100.1,23.51,0.4,,4954328,3.44,0.17
FOX-16,Influent_WWTP_2_1_24_MH2_S339,wet,FOX beta-lactamase,ARO:3006474,cephalosporin; cephamycin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,4,ARO:3006474|ID:4606|Name:FOX-16|NCBI:NG_057480.1,14.71,0.41,Aeromonas veronii (chromosome): 2; ,4954328,1.72,0.18
FOX-2,Influent_WWTP_2_1_24_MH2_S339,wet,FOX beta-lactamase,ARO:3002156,cephalosporin; cephamycin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,9,ARO:3002156|ID:764|Name:FOX-2|NCBI:Y10282.1,43.34,0.69,Aeromonas veronii (chromosome): 4; ,4954328,3.87,0.3
FOX-3,Influent_WWTP_2_1_24_MH2_S339,wet,FOX beta-lactamase,ARO:3002157,cephalosporin; cephamycin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,ARO:3002157|ID:81|Name:FOX-3|NCBI:Y11068.1,25.07,0.26,Aeromonas veronii (chromosome or plasmid): 1; ,4954328,0.86,0.11
FOX-4,Influent_WWTP_2_1_24_MH2_S339,wet,FOX beta-lactamase,ARO:3002158,cephalosporin; cephamycin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,3,ARO:3002158|ID:1726|Name:FOX-4|NCBI:AJ277535.1,14.88,0.39,Aeromonas veronii (chromosome): 3; ,4954328,1.29,0.17
FOX-5,Influent_WWTP_2_1_24_MH2_S339,wet,FOX beta-lactamase,ARO:3002159,cephalosporin; cephamycin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,1,ARO:3002159|ID:1249|Name:FOX-5|NCBI:AY007369.1,13.14,0.13,,4954328,0.43,0.06
FOX-9,Influent_WWTP_2_1_24_MH2_S339,wet,FOX beta-lactamase,ARO:3002163,cephalosporin; cephamycin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,25.8486,98.99,Aeromonas veronii (chromosome),1,ARO:3002163|ID:990|Name:FOX-9|NCBI:JF896803.1,13.14,0.13,,4954328,0.43,0.06
FRI-9,Influent_WWTP_2_1_24_MH2_S339,wet,FRI beta-lactamase,ARO:3005032,penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,2.3729,100,,,,,,,4954328,0,0
FosA8,Influent_WWTP_2_1_24_MH2_S339,wet,fosfomycin thiol transferase,ARO:3007371,phosphonic acid antibiotic,phosphonic acid antibiotic,antibiotic inactivation,protein homolog,1,Strict,95.7746,54.74,,,,,,,4954328,0,0
FosI,Influent_WWTP_2_1_24_MH2_S339,wet,fosfomycin thiol transferase,ARO:3007370,phosphonic acid antibiotic,phosphonic acid antibiotic,antibiotic inactivation,protein homolog,1,Strict,73.3333,73.74,,,,,,,4954328,0,0
GES-27,Influent_WWTP_2_1_24_MH2_S339,wet,GES beta-lactamase,ARO:3006156,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,6,ARO:3006156|ID:4610|Name:GES-27|NCBI:NG_049130.1,68.75,0.97,,4954328,2.58,0.42
GES-43,Influent_WWTP_2_1_24_MH2_S339,wet,GES beta-lactamase,ARO:3006172,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,43.4028,100,Unknown taxonomy (chromosome or plasmid),,,,,,4954328,0,0
ICR-Mo,Influent_WWTP_2_1_24_MH2_S339,wet,intrinsic colistin resistant phosphoethanolamine transferase,ARO:3004569,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,1,Strict,98.0322,95.74,Moraxella osloensis (chromosome),150,ARO:3004569|ID:3271|Name:ICR-Mo|NCBI:NZ_CP014234.1,100,11.36,Moraxella osloensis (chromosome): 116; ,4954328,64.48,4.88
KLUC-4,Influent_WWTP_2_1_24_MH2_S339,wet,KLUC beta-lactamase,ARO:3006930,cephalosporin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,3.0822,100,,,,,,,4954328,0,0
KPC-2,Influent_WWTP_2_1_24_MH2_S339,wet,KPC beta-lactamase,ARO:3002312,monobactam; carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Perfect,99.6599,100,Unknown taxonomy (chromosome or plasmid),,,,,,4954328,0,0
KPC-34,Influent_WWTP_2_1_24_MH2_S339,wet,KPC beta-lactamase,ARO:3005366,monobactam; carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,38,ARO:3005366|ID:4099|Name:KPC-34|NCBI:KU985429.1,98.9,5.47,Klebsiella pneumoniae (chromosome or plasmid): 2; ,4954328,16.34,2.35
KPC-77,Influent_WWTP_2_1_24_MH2_S339,wet,KPC beta-lactamase,ARO:3006202,monobactam; carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,2.381,100,,,,,,,4954328,0,0
Klebsiella pneumoniae KpnG,Influent_WWTP_2_1_24_MH2_S339,wet,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3004588,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penam; peptide antibiotic; penem,beta-lactam antibiotic; aminoglycoside antibiotic; macrolide antibiotic; peptide antibiotic; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,8,ARO:3004588|ID:3298|Name:Klebsiella_pneumoniae_KpnG|NCBI:ACWO01000051.1,46.12,0.47,Klebsiella pneumoniae (chromosome): 2; ,4954328,3.44,0.2
Klebsiella pneumoniae KpnH,Influent_WWTP_2_1_24_MH2_S339,wet,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3004597,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penam; peptide antibiotic; penem,beta-lactam antibiotic; aminoglycoside antibiotic; macrolide antibiotic; peptide antibiotic; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,6,ARO:3004597|ID:3299|Name:Klebsiella_pneumoniae_KpnH|NCBI:ASTU01000063.1,40.35,0.46,,4954328,2.58,0.2
Klebsiella pneumoniae OmpK37,Influent_WWTP_2_1_24_MH2_S339,wet,General Bacterial Porin with reduced permeability to beta-lactams,ARO:3004122,monobactam; carbapenem; cephalosporin; cephamycin; penam; penem,beta-lactam antibiotic,reduced permeability to antibiotic,protein homolog,0,,,,,8,ARO:3004122|ID:2785|Name:Klebsiella_pneumoniae_OmpK37|NCBI:AJ011502.1,33.33,0.39,,4954328,3.44,0.17
LHK-2,Influent_WWTP_2_1_24_MH2_S339,wet,LHK beta-lactamase,ARO:3006936,carbapenem; cephalosporin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,20,97.44,Laribacter hongkongensis (chromosome),,,,,,4954328,0,0
LHK-6,Influent_WWTP_2_1_24_MH2_S339,wet,LHK beta-lactamase,ARO:3006940,carbapenem; cephalosporin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,1.5345,100,,,,,,,4954328,0,0
LUT-3,Influent_WWTP_2_1_24_MH2_S339,wet,LUT beta-lactamase,ARO:3006945,cephalosporin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,2.6936,100,,,,,,,4954328,0,0
LpeA,Influent_WWTP_2_1_24_MH2_S339,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3004099,macrolide antibiotic,macrolide antibiotic,antibiotic efflux,protein homolog,1,Nudged,1.9663,100,,,,,,,4954328,0,0
LptD,Influent_WWTP_2_1_24_MH2_S339,wet,ATP-binding cassette (ABC) antibiotic efflux pump,ARO:3005059,peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic,aminocoumarin antibiotic; peptide antibiotic; rifamycin antibiotic,antibiotic efflux,protein homolog,0,,,,,1,ARO:3005059|ID:3799|Name:LptD|NCBI:CP007727.1,2.21,0.02,,4954328,0.43,0.01
MCR-10.5,Influent_WWTP_2_1_24_MH2_S339,wet,MCR phosphoethanolamine transferase,ARO:3007274,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,1,Nudged,1.6667,100,,,,,,,4954328,0,0
MCR-3.17,Influent_WWTP_2_1_24_MH2_S339,wet,MCR phosphoethanolamine transferase,ARO:3007278,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,2,ARO:3007278|ID:5883|Name:MCR-3.17|NCBI:MH332767.1,10.91,0.19,,4954328,0.86,0.08
MCR-3.32,Influent_WWTP_2_1_24_MH2_S339,wet,MCR phosphoethanolamine transferase,ARO:3007254,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,5,ARO:3007254|ID:5859|Name:MCR-3.32|NCBI:MT757847.1,22.8,0.25,Aeromonas caviae (chromosome or plasmid): 2; ,4954328,2.15,0.11
MCR-3.34,Influent_WWTP_2_1_24_MH2_S339,wet,MCR phosphoethanolamine transferase,ARO:3007268,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,2,ARO:3007268|ID:5873|Name:MCR-3.34|NCBI:MT791040.1,18.61,0.19,Aeromonas veronii (chromosome): 1; ,4954328,0.86,0.08
MCR-3.4,Influent_WWTP_2_1_24_MH2_S339,wet,MCR phosphoethanolamine transferase,ARO:3004691,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,4,ARO:3004691|ID:3390|Name:MCR-3.4|NCBI:FLXA01000011.1,20.11,0.28,Aeromonas hydrophila (chromosome or plasmid): 2; ,4954328,1.72,0.12
MCR-3.6,Influent_WWTP_2_1_24_MH2_S339,wet,MCR phosphoethanolamine transferase,ARO:3004503,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,1,Nudged,8.5028,100,Aeromonas hydrophila (chromosome or plasmid),,,,,,4954328,0,0
MCR-3.7,Influent_WWTP_2_1_24_MH2_S339,wet,MCR phosphoethanolamine transferase,ARO:3004510,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,7,ARO:3004510|ID:3138|Name:MCR-3.7|NCBI:MF598077.1,26.63,0.45,Aeromonas (chromosome): 2; ,4954328,3.01,0.19
MCR-5.1,Influent_WWTP_2_1_24_MH2_S339,wet,MCR phosphoethanolamine transferase,ARO:3004332,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,9,ARO:3004332|ID:2849|Name:MCR-5.1|NCBI:KY807920.1,47.08,0.81,,4954328,3.87,0.35
MCR-5.2,Influent_WWTP_2_1_24_MH2_S339,wet,MCR phosphoethanolamine transferase,ARO:3004698,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,1,Nudged,18.0987,100,Unknown taxonomy (chromosome or plasmid),,,,,,4954328,0,0
MCR-5.3,Influent_WWTP_2_1_24_MH2_S339,wet,MCR phosphoethanolamine transferase,ARO:3007282,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,2,Nudged,28.6496,100,Unknown taxonomy (chromosome or plasmid),,,,,,4954328,0,0
MCR-7.1,Influent_WWTP_2_1_24_MH2_S339,wet,MCR phosphoethanolamine transferase,ARO:3004517,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,1,Nudged,1.1111,100,,38,ARO:3004517|ID:3145|Name:MCR-7.1|NCBI:MG267386.1,61.85,0.4,,4954328,16.34,0.17
MCR-8.2,Influent_WWTP_2_1_24_MH2_S339,wet,MCR phosphoethanolamine transferase,ARO:3007229,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,1,Nudged,1.0601,100,,,,,,,4954328,0,0
MOX-12,Influent_WWTP_2_1_24_MH2_S339,wet,MOX beta-lactamase,ARO:3006477,cephalosporin; cephamycin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,2,Nudged,37.5,99.555,Aeromonas caviae (chromosome) Aeromonas caviae (chromosome or plasmid),27,ARO:3006477|ID:4773|Name:MOX-12|NCBI:NG_049314.1,61.63,2.42,Aeromonas caviae (chromosome): 15; Aeromonas hydrophila (chromosome): 2; Aeromonas caviae (chromosome or plasmid): 1; ,4954328,11.61,1.04
MOX-13,Influent_WWTP_2_1_24_MH2_S339,wet,MOX beta-lactamase,ARO:3006478,cephalosporin; cephamycin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,13,ARO:3006478|ID:4774|Name:MOX-13|NCBI:NG_055585.1,39.84,1.16,Aeromonas caviae (chromosome): 7; ,4954328,5.59,0.5
MOX-14,Influent_WWTP_2_1_24_MH2_S339,wet,MOX beta-lactamase,ARO:3006479,cephalosporin; cephamycin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,4,ARO:3006479|ID:4775|Name:MOX-14|NCBI:NG_067143.1,15.49,0.39,Aeromonas hydrophila (chromosome): 2; ,4954328,1.72,0.17
MOX-2,Influent_WWTP_2_1_24_MH2_S339,wet,MOX beta-lactamase,ARO:3002183,cephalosporin; cephamycin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,6,ARO:3002183|ID:688|Name:MOX-2|NCBI:AJ276453.1,54.83,0.71,,4954328,2.58,0.31
MOX-3,Influent_WWTP_2_1_24_MH2_S339,wet,MOX beta-lactamase,ARO:3002186,cephalosporin; cephamycin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,35.7702,98.54,Aeromonas caviae (chromosome),,,,,,4954328,0,0
MOX-5,Influent_WWTP_2_1_24_MH2_S339,wet,MOX beta-lactamase,ARO:3002188,cephalosporin; cephamycin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,ARO:3002188|ID:53|Name:MOX-5|NCBI:GQ152600.1,13.11,0.26,Aeromonas caviae (chromosome): 2; ,4954328,0.86,0.11
MOX-6,Influent_WWTP_2_1_24_MH2_S339,wet,MOX beta-lactamase,ARO:3002185,cephalosporin; cephamycin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,5,ARO:3002185|ID:1376|Name:MOX-6|NCBI:GQ152601.1,40.54,0.52,,4954328,2.15,0.22
MOX-8,Influent_WWTP_2_1_24_MH2_S339,wet,MOX beta-lactamase,ARO:3002190,cephalosporin; cephamycin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,7,ARO:3002190|ID:1485|Name:MOX-8|NCBI:JX173956.1,26.39,0.84,Aeromonas caviae (chromosome): 2; ,4954328,3.01,0.36
MOX-9,Influent_WWTP_2_1_24_MH2_S339,wet,MOX beta-lactamase,ARO:3002191,cephalosporin; cephamycin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Strict,99.7396,97.91,Unknown taxonomy (chromosome or plasmid),95,ARO:3002191|ID:2329|Name:MOX-9|NCBI:KJ746495.1,100,10.43,Aeromonas hydrophila (chromosome): 2; Escherichia coli (plasmid): 14; Aeromonas veronii (plasmid): 7; ,4954328,40.84,4.48
MdtK,Influent_WWTP_2_1_24_MH2_S339,wet,multidrug and toxic compound extrusion (MATE) transporter,ARO:3001327,fluoroquinolone antibiotic,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,1,Nudged,5.6842,96.3,,1,ARO:3001327|ID:1752|Name:MdtK|NCBI:CP014358.1,10.6,0.11,,4954328,0.43,0.05
Mef(En2),Influent_WWTP_2_1_24_MH2_S339,wet,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3004659,macrolide antibiotic,macrolide antibiotic,antibiotic efflux,protein homolog,1,Nudged,54.2289,99.08,Unknown taxonomy (chromosome),21,ARO:3004659|ID:3359|Name:Mef(En2)|NCBI:AF251288.1,73.05,2.32,,4954328,9.03,1
MexB,Influent_WWTP_2_1_24_MH2_S339,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000378,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem,macrolide antibiotic; aminocoumarin antibiotic; peptide antibiotic; tetracycline antibiotic; sulfonamide antibiotic; beta-lactam antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,33,ARO:3000378|ID:1925|Name:MexB|NCBI:L11616.1,35.08,0.24,Aeromonas veronii (chromosome): 5; Aeromonas hydrophila (chromosome): 2; Enterobacter cloacae (chromosome): 1; ,4954328,14.19,0.1
MexD,Influent_WWTP_2_1_24_MH2_S339,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000801,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,beta-lactam antibiotic; aminoglycoside antibiotic; macrolide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; tetracycline antibiotic; phenicol antibiotic; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,2,Nudged,0.7663,100,,,,,,,4954328,0,0
MexE,Influent_WWTP_2_1_24_MH2_S339,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000803,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,phenicol antibiotic; diaminopyrimidine antibiotic; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,3,ARO:3000803|ID:1067|Name:MexE|NCBI:AE004091.2,17.43,0.12,,4954328,1.29,0.05
MexF,Influent_WWTP_2_1_24_MH2_S339,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000804,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,phenicol antibiotic; diaminopyrimidine antibiotic; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,26,ARO:3000804|ID:1300|Name:MexF|NCBI:AE004091.2,34.27,0.14,,4954328,11.18,0.06
MexI,Influent_WWTP_2_1_24_MH2_S339,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000808,fluoroquinolone antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics,disinfecting agents and antiseptics; tetracycline antibiotic; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,2,Nudged,1.5534,100,,,,,,,4954328,0,0
